"wl","Sargassum","Fucus vesiculosus","Zostera marina","Sand (Dark)","Mud","Posidonia oceanica","coral","Sand (Bright)","Zostera noltei"
547,0.02487947352,0.025,0.064,0.316864043,0.111976611,0.084195803,0.138182,0.362495118241255,0.072390995378545
548,0.02546059688,0.025,0.064,0.317959398,0.112507094333333,0.084574806,0.140028,0.363423464920165,0.0728214744849544
549,0.02606982496,0.025,0.064,0.318955913,0.113034158666667,0.084995721,0.141874,0.364342143088037,0.0732378381242219
550,0.02670911372,0.025,0.064,0.319952428,0.113557804,0.085440897,0.14372,0.365244336559552,0.0736330738712462
551,0.02737855184,0.025,0.064,0.32100445,0.114073863333333,0.085865178,0.146002,0.366184623798373,0.0740063028252143
552,0.02807851048,0.0256363636363637,0.064,0.322040349,0.114585569,0.086184996,0.148284,0.367100310938984,0.0743550306011979
553,0.028809107,0.026,0.064,0.323076248,0.115092921,0.086440322,0.150566,0.367980142462706,0.0746738676475616
554,0.0295746008,0.026,0.064,0.324079186,0.115591707,0.086635989,0.152848,0.368862303499399,0.074960184492156
555,0.03037893,0.026,0.06340522875817,0.325081766,0.115961700666667,0.086827475,0.15513,0.369756277834966,0.0751960864336228
556,0.0312226118,0.026,0.063,0.326084346,0.116202902,0.086970033,0.15788,0.370667176299626,0.0753568741496392
557,0.03210491432,0.026,0.063,0.327069223,0.116689692666667,0.087051111,0.16063,0.371586523297826,0.075480254707921
558,0.03302196792,0.026,0.063,0.3280364275,0.117172679666667,0.087004586,0.16338,0.372514933203661,0.0755750842817619
559,0.03396184252,0.0262026143790849,0.0627973856209151,0.329003632,0.117651863,0.086872991,0.16613,0.373455973574973,0.0756452164597335
560,0.03490937132,0.0268562091503268,0.0621437908496732,0.329865515,0.118123785,0.086675783,0.16888,0.374378755957173,0.0756829360787898
561,0.0358526998,0.027,0.062,0.330826178,0.118592055,0.086445963,0.171842,0.375264454830974,0.075690056308206
562,0.03677618276,0.027,0.0618376623376623,0.331786841,0.119056673,0.086136404,0.174804,0.376152976997514,0.0756804972502772
563,0.0376690678,0.027,0.0611883116883117,0.332723081,0.119514059,0.085767795,0.177766,0.377032168120232,0.0756446765912788
564,0.03852852648,0.027,0.0605359477124183,0.333598107,0.119967399,0.085327595,0.180728,0.377924455287718,0.0755399683573002
565,0.03935017152,0.027,0.06,0.334473133,0.120416693,0.084817521,0.18369,0.37883156569321,0.0753899786498091
566,0.04012962172,0.027,0.06,0.33540082,0.120857213,0.084268964,0.186258,0.37976129315936,0.0752040273802174
567,0.0408665964,0.027,0.0595816993464052,0.336224422,0.121292755,0.083682723,0.188826,0.380674005432146,0.074968747541779
568,0.04155319292,0.027,0.0589281045751634,0.337048024,0.121723319,0.082996073,0.191394,0.381536441706716,0.0746938948541065
569,0.04217931232,0.027,0.0582745098039216,0.337851912,0.122143386333333,0.082332108,0.193962,0.382361011277123,0.0743810756938407
570,0.04274208176,0.027,0.058,0.3386677355,0.122557820333333,0.081704208,0.19653,0.383228738487662,0.0740368224811179
571,0.04323438928,0.027,0.0579738562091504,0.339483559,0.122966621,0.081029684,0.197838,0.384132104912548,0.0736783445953349
